#EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
62,0.765681,3.7854,4.5952,-0.1781,5.1325,5.3787,4.7165
63,0.770914,3.7877,4.5897,-0.1607,5.0896,5.332,4.6778
64,0.776101,3.7898,4.5843,-0.1436,5.0473,5.2862,4.6395
65,0.781236,3.792,4.5788,-0.1266,5.0053,5.2407,4.6017
66,0.786323,3.7941,4.5733,-0.1098,4.9641,5.1961,4.5646
67,0.791376,3.7962,4.5679,-0.0933,4.9232,5.1518,4.5275
68,0.796393,3.7982,4.5623,-0.0769,4.8828,5.1083,4.491
69,0.801391,3.8002,4.5566,-0.0606,4.8429,5.0652,4.4548
70,0.806365,3.8022,4.5508,-0.0445,4.8032,5.0224,4.4189
71,0.811332,3.804,4.5448,-0.0284,4.7639,4.9803,4.3832
72,0.81629,3.8058,4.5388,-0.0125,4.7249,4.9383,4.3476
73,0.821211,3.8075,4.5326,0.0033,4.6863,4.8971,4.3124
74,0.826094,3.8092,4.5263,0.0189,4.6479,4.8561,4.2774
75,0.830921,3.8108,4.5199,0.0343,4.6101,4.8158,4.2428
76,0.835691,3.8124,4.5135,0.0496,4.5726,4.7758,4.2084
77,0.840388,3.814,4.507,0.0646,4.5357,4.7366,4.1745
78,0.844997,3.8154,4.5006,0.0796,4.4992,4.6977,4.141
79,0.8495,3.8169,4.4941,0.094,4.4634,4.6599,4.1081
80,0.853888,3.8184,4.4879,0.1084,4.4282,4.6224,4.0758
81,0.858149,3.8197,4.4815,0.1224,4.3939,4.5862,4.0443
82,0.8635,3.8214,4.4735,0.1401,4.3504,4.5401,4.0043
83,0.86871,3.8232,4.4656,0.1574,4.3077,4.4948,3.965
84,0.873817,3.8248,4.4577,0.1746,4.2654,4.45,3.9261
85,0.878855,3.8265,4.4497,0.1916,4.2236,4.4058,3.8876
86,0.883843,3.8282,4.4419,0.2086,4.1817,4.3616,3.8492
87,0.888807,3.8298,4.4339,0.2255,4.1401,4.3177,3.8109
88,0.893772,3.8315,4.4261,0.2425,4.0982,4.2734,3.7725
89,0.898749,3.8331,4.4182,0.2595,4.0564,4.2291,3.7341
90,0.903745,3.8349,4.4104,0.2767,4.014,4.1844,3.6954
91,0.90877,3.8366,4.4026,0.2938,3.9716,4.1394,3.6566
92,0.913818,3.8385,4.3949,0.3112,3.9288,4.0941,3.6176
93,0.918829,3.8403,4.3873,0.3285,3.8863,4.049,3.5788
94,0.923762,3.8421,4.3797,0.3456,3.8439,4.0041,3.5404
95,0.928588,3.8439,4.3723,0.3625,3.8022,3.9599,3.5025
96,0.933284,3.8457,4.365,0.3792,3.7609,3.9162,3.4651
97,0.937836,3.8475,4.3577,0.3955,3.7207,3.8735,3.4286
